שם נקודה,אתר,Latitude,Longitude,Tries,אזור
מג'רסה לפני המאגר,מג'רסה,32.8942,35.6851,,גולן
מג'רסה מסיל צפוני,מג'רסה,32.8912,35.6431,,גולן
מג'רסה מעלה,מג'רסה,32.8895,35.6485,,גולן
מג'רסה נחל שפמנון,מג'רסה,32.8864,35.6402,,גולן
מעיין שולמית,מעיין שולמית,33.0215,35.5928,,גליל עליון
משושים בריכת המשושים,משושים,32.9386,35.6653,,גולן
משושים חורשה,משושים,32.9412,35.6681,,גולן
משושים לאחר חיבור נחל קצרין,משושים,32.9498,35.6752,,גולן
משושים לפני חיבור נחל אל-דורה למשושים,משושים,32.9612,35.6881,,גולן
משושים מעבר כביש,משושים,32.9851,35.6982,,גולן
משושים מעל חיבור נחל קצרין,משושים,32.9512,35.6768,,גולן
משושים נחל דורה,משושים,32.9645,35.6912,,גולן
משושים סוף נחל קצרין,משושים,32.9505,35.6761,,גולן
משושים צומת נשוט לכיוון קצרין,משושים,32.9882,35.6921,,גולן
נחל דוד א',נחל דוד,31.4672,35.3921,,מדבר יהודה / ים המלח
נחל דוד ב',נחל דוד,31.4665,35.3948,,מדבר יהודה / ים המלח
נחל ערוגות א',נחל ערוגות,31.4612,35.3892,,מדבר יהודה / ים המלח
נחל ערוגות ב',נחל ערוגות,31.4601,35.3928,,מדבר יהודה / ים המלח
גשר כביש 70,נחל צפורי,32.7615,35.1582,,גליל תחתון
חיבור עלי אסמעיל מגדוב,נחל צפורי,32.7582,35.1891,,גליל תחתון
תחנת הנזירים,נחל צפורי,32.7571,35.1782,,גליל תחתון
ירדן דרומי גשר,סקר,32.9125,35.6211,,עמק הירדן / הכנרת
ירמוכים יציאה ממאגר לאחר חיטוי,סקר,32.6812,35.5892,,עמק הירדן
ירמוכים כניסה,סקר,32.6885,35.6012,,עמק הירדן
ירמוכים מאגר,סקר,32.6841,35.5948,,עמק הירדן
נוחיילה,סקר,33.2486,35.6219,,גליל עליון / אצבע הגליל
נחל סער בקעת יעפורי,סקר,33.2281,35.7612,,גולן / צפון הגולן
עין תופחה אחרי איגום,סקר,33.2351,35.7712,,גולן / צפון הגולן
עין תופחה לפני איגום,סקר,33.2362,35.7725,,גולן / צפון הגולן
ראס אל נבע,סקר,33.2512,35.7681,,גולן / צפון הגולן
תעלת שלומי,סקר,33.0721,35.1482,,גליל מערבי
כניסה לבנון,עיון,33.2812,35.5781,,גליל עליון / אצבע הגליל
נחל עיון כניסה מלבנון,עיון,33.2812,35.5781,,גליל עליון / אצבע הגליל
מעיין עין גדי,עין גדי,31.4642,35.3881,,מדבר יהודה / ים המלח
בריכה הצפצפה - גשר דרומית,עין פשחה,31.7152,35.4528,,מדבר יהודה / ים המלח
גשר הצפצפה,עין פשחה,31.7161,35.4532,,מדבר יהודה / ים המלח
בריכת המעיין,עינות צוקים,31.7148,35.4519,,מדבר יהודה / ים המלח
בריכת מעיין עליונה - עינות צוקים,עינות צוקים,31.7162,35.4512,,מדבר יהודה / ים המלח
בריכת מעיין תחתונה - עינות צוקים,עינות צוקים,31.7135,35.4525,,מדבר יהודה / ים המלח
בריכת קנה,עינות צוקים,31.6912,35.4481,,מדבר יהודה / ים המלח
בריכת קנה (תמר) - עינות צוקים,עינות צוקים,31.6912,35.4481,,מדבר יהודה / ים המלח
בריכת תמר,עינות צוקים,31.6885,35.4462,,מדבר יהודה / ים המלח
בריכת תמר - עינות צוקים,עינות צוקים,31.6885,35.4462,,מדבר יהודה / ים המלח
כיסון,עינות צוקים,31.7082,35.4501,,מדבר יהודה / ים המלח
מזין בריכת המעיין התחתונה,עינות צוקים,31.7138,35.4521,,מדבר יהודה / ים המלח
מזין בריכת קנה,עינות צוקים,31.6918,35.4485,,מדבר יהודה / ים המלח
צלמון בריכת מפל (נקודה מבוטלת),צלמון,32.8812,35.3981,,גליל תחתון
צלמון ברכת חרוב,צלמון,32.8791,35.3912,,גליל תחתון
צלמון ראש המעיין,צלמון,32.8942,35.3782,,גליל תחתון
צלמון תחנת קמח,צלמון,32.8852,35.3851,,גליל תחתון
